"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species"
"Rajella_eisenhardti",17.7910775784007,16.8901143210217,7.12018242526173,924.08,971,0,0,"Rajella eisenhardti"
"Pavoraja_arenaria",17.454491545993,17.0942053946343,5.21252147902757,926.32,950,0,0,"Pavoraja arenaria"
"Dipturus_ecuadoriensis",17.5540438837277,15.9099663551544,8.69219182242295,926.39,1008.5,0,0,"Dipturus ecuadoriensis"
"Dipturus_mennii",17.3890431951396,14.9453991003395,8.24090183441437,926.53,996.5,0,0,"Dipturus mennii"
"Potamotrygon_constellata",17.3139753312205,16.3204564641563,6.04344291894751,927.93,957,0,0,"Potamotrygon constellata"
"Dipturus_intermedia",17.7160275507173,14.9760773269267,9.60582916363045,928.51,1041.5,0,0,"Dipturus intermedia"
"Leucoraja_wallacei",17.4874743832283,17.3544721287685,4.69173874588789,929.47,933,0,0,"Leucoraja wallacei"
"Rajella_nigerrima",17.5919189168344,16.727919727449,7.0108102792272,931.76,996,0,0,"Rajella nigerrima"
"Dipturus_stenorhynchus",17.6082114853545,15.1914062647757,9.54047992800745,932.39,1018,0,0,"Dipturus stenorhynchus"
"Rajella_alia",17.5786828403871,16.7198789883332,7.20055281753723,932.93,991.5,0,0,"Rajella alia"
"Apristurus_platyrhynchus",17.198517150837,16.89342953829,3.85561477907532,933.48,942.5,0,0,"Apristurus platyrhynchus"
"Dipturus_gigas",17.5580607796778,16.2041364219459,9.39761148745318,934.23,1017,0,0,"Dipturus gigas"
"Apristurus_sinensis",17.2487928221407,17.2118702235207,3.90900083108901,934.36,944.5,0,0,"Apristurus sinensis"
"Dipturus_bullisi",17.1825819671942,15.9552696827618,8.27096001154183,934.41,1028.5,0,0,"Dipturus bullisi"
"Mustelus_mosis",17.4881800866376,19.029541894817,4.60707172540665,935.13,914.5,0,0,"Mustelus mosis"
"Potamotrygon_tatianae",16.8588076293443,15.6586471148951,6.07694698619678,935.9,1010,0,0,"Potamotrygon tatianae"
"Pavoraja_pseudonitida",17.1674681406577,16.4312813510654,5.86186151063628,936.05,967,0,0,"Pavoraja pseudonitida"
