"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Bathyraja andriashevi",707,25.0688231833328,665,22.8207195007296,1098,0.634161165301548,1161,0.157690834783072,-42,391,454,"Bathyraja andriashevi","Bathyraja andriashevi","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja bergi",903,19.1591926663649,883,17.4071694906931,1182,0.546623322931784,1099,0.175739426318202,-20,279,196,"Bathyraja bergi","Bathyraja bergi","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja brachyurops",1177,8.90898481224944,1178,8.08824469044467,1126,0.59858951547441,1130,0.166346068884983,1,-51,-47,"Bathyraja brachyurops","Bathyraja brachyurops","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja cousseauae",1173,9.13870604747722,1170,8.42887895345961,1187,0.53933843411143,1189,0.143297467231934,-3,14,16,"Bathyraja cousseauae","Bathyraja cousseauae","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja diplotaenia",1178,8.90898281224944,1175,8.19162765535691,1131,0.596713042701613,1131,0.166346068884983,-3,-47,-47,"Bathyraja diplotaenia","Bathyraja diplotaenia","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja eatonii",1126,11.8301482813315,1114,11.1571531607954,1184,0.545483530852596,1136,0.164726824357975,-12,58,10,"Bathyraja eatonii","Bathyraja eatonii","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja fedorovi",1174,9.13870504747722,1171,8.40916343012065,1185,0.543697936750235,1173,0.153093027464228,-3,11,-1,"Bathyraja fedorovi","Bathyraja fedorovi","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja griseocauda",819,21.601073565178,780,19.9083906243536,1144,0.588415681736144,1064,0.18382682294873,-39,325,245,"Bathyraja griseocauda","Bathyraja griseocauda","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja hesperafricana",786,22.6648780532899,768,20.2594902741188,1169,0.566420065106395,1074,0.182092911612086,-18,383,288,"Bathyraja hesperafricana","Bathyraja hesperafricana","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja irrasa",1175,9.11266157374944,1172,8.39995723704105,1094,0.639068056737039,1101,0.175470269205577,-3,-81,-74,"Bathyraja irrasa","Bathyraja irrasa","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
