"tip.label","mean_ED","median_ED","sd_ED","mean_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145","species","rank_change_66_vs_ED","rank_change_145_vs_ED","rank_change_145_vs_66"
"Centroselachus_crepidater",56.073115161417,61.3862900500543,14.9383950345586,148.57,0,0,6.6325131211177,6.4692764592898,3.51251969071793,248.82,229.5,0,0,1.21529559889665,1.20075039987759,0.674134390072436,234.4,228.5,0,0,"Centroselachus crepidater",100.25,85.83,-14.42
"Ginglymostoma_cirratum",54.87355080161,54.8841204962552,10.4348427812452,149.27,0,0,11.0696259142796,11.2104746383194,3.0722737698511,88.07,84.5,0,0,2.48057921049191,2.56910630810748,1.07471300603435,77.05,75,0,0,"Ginglymostoma cirratum",-61.2,-72.22,-11.02
"Galeus_eastmani",53.277888515116,56.1339873865403,11.0054932290821,150.7,0,0,3.22614305319474,3.22424470987025,1.91571116567388,512.65,458.5,0,0,0.337635849001825,0.339031127017375,0.132805747558565,673.85,639.5,0,0,"Galeus eastmani",361.95,523.15,161.2
"Chaenogaleus_macrostoma",52.4491091480335,54.4533448960976,8.6814856852722,151.18,0,0,4.14994912672594,4.37823052874241,2.27170874545042,436.48,344.5,0,0,0.314911187757367,0.31982364026274,0.11050638885962,730.13,711.5,0,0,"Chaenogaleus macrostoma",285.3,578.95,293.65
"Galeus_sauteri",53.277888515116,56.1339873865403,11.0054932290821,151.7,0,0,3.31467958105486,3.18759422639136,2.10958676486838,509.48,467,0,0,0.329366350278324,0.326970693422179,0.114675518079648,685.97,659,0,0,"Galeus sauteri",357.78,534.27,176.49
"Cirrhoscyllium_formosanum",57.6854516122739,55.3036405040571,18.5048812961371,152.75,5,0.05,12.4282386915174,11.3638722909737,5.27284887104766,86.49,75.5,6,0.06,3.59385659035242,3.33322373361924,1.61455698438251,43.51,44.5,16,0.16,"Cirrhoscyllium formosanum",-66.26,-109.24,-42.98
"Nebrius_ferrugineus",54.7591703121546,53.7459021542984,11.8129884345147,154.08,0,0,11.1980840576894,11.3083633302122,3.33543923586787,86.53,79,0,0,2.43133143063343,2.40129462601146,1.05201342632895,77.6,76,0,0,"Nebrius ferrugineus",-67.55,-76.48,-8.93000000000001
"Heterodontus_ramalheira",56.9787259017831,56.6467902355782,18.2419476274792,155.14,1,0.01,11.2796164292384,10.1178602314471,5.06952831247876,100.3,91,2,0.02,3.65779713692757,3.50109657760507,1.45579112462353,40.45,38,13,0.13,"Heterodontus ramalheira",-54.84,-114.69,-59.85
"Rhinobatos_lentiginosus",65.2642909270637,58.0397976727485,29.6541150418134,155.49,21,0.21,13.4701481741715,12.9828743675078,8.11118956443423,101.6,79.5,19,0.19,2.14501211354452,1.96986944456635,1.39904239371536,125.83,107,2,0.02,"Rhinobatos lentiginosus",-53.89,-29.66,24.23
"Rhinochimaera_pacifica",52.6947375748041,53.5423285230135,5.01616956530116,157.12,0,0,11.1975630617093,11.1595728878348,1.2054392049865,91.56,91,1,0.01,3.33760483411285,3.29598537652252,0.837335908420803,54.11,48,22,0.22,"Rhinochimaera pacifica",-65.56,-103.01,-37.45
